Date,Gender,Annual Income,Model,Engine,Transmission,Color,Price ($),Body Style,Company
2023-05-30,Female,13500,Windstar,DoubleÂ Overhead Camshaft,Auto,Pale White,19001,Sedan,Ford
2023-10-28,Male,2850000,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,75001,Hardtop,Nissan
2022-12-04,Male,13500,Jetta,DoubleÂ Overhead Camshaft,Auto,Black,22000,Passenger,Volkswagen
2023-05-30,Male,13500,Cavalier,Overhead Camshaft,Manual,Red,20001,SUV,Chevrolet
2022-06-09,Male,13500,C-Class,Overhead Camshaft,Manual,Pale White,17000,Hatchback,Mercedes-B
2023-07-18,Male,1175000,Montero Sport,Overhead Camshaft,Manual,Black,42500,Hardtop,Mitsubishi
2023-07-19,Male,430000,Ram Pickup,Overhead Camshaft,Manual,Pale White,21000,Hardtop,Dodge
2022-04-16,Male,1900000,S-Class,Overhead Camshaft,Manual,Black,18000,SUV,Mercedes-B
2022-09-24,Male,1230000,Durango,Overhead Camshaft,Manual,Pale White,27000,SUV,Dodge
2022-04-28,Male,794500,S-Class,Overhead Camshaft,Manual,Red,21500,SUV,Mercedes-B
2023-11-16,Male,13500,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,69000,SUV,Cadillac
2022-09-17,Male,13500,Intrigue,DoubleÂ Overhead Camshaft,Auto,Pale White,45000,SUV,Oldsmobile
2023-03-15,Male,720000,S-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,10000,SUV,Mercedes-B
2022-06-11,Female,1340000,Breeze,DoubleÂ Overhead Camshaft,Auto,Red,39001,SUV,Plymouth
2023-03-26,Male,2790000,323i,DoubleÂ Overhead Camshaft,Auto,Red,19001,Hatchback,BMW
2023-10-21,Male,612500,Carrera Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,22500,Hardtop,Porsche
2023-12-17,Male,617000,Lumina,Overhead Camshaft,Manual,Black,10000,Passenger,Chevrolet
2023-11-27,Male,1960000,Prowler,Overhead Camshaft,Manual,Pale White,71000,Hatchback,Plymouth
2023-03-10,Male,1320000,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Red,39001,Hardtop,Mitsubishi
2023-11-14,Male,555000,Boxter,DoubleÂ Overhead Camshaft,Auto,Black,26000,SUV,Porsche
2022-08-16,Male,13500,S-Class,Overhead Camshaft,Manual,Black,18000,SUV,Mercedes-B
2023-12-08,Male,764000,ES300,Overhead Camshaft,Manual,Black,34000,Hardtop,Lexus
2022-11-17,Male,316000,Civic,Overhead Camshaft,Manual,Black,43000,Hatchback,Honda
2022-08-24,Male,13500,Cutlass,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,Sedan,Oldsmobile
2022-06-16,Female,1647000,C-Class,Overhead Camshaft,Manual,Pale White,17700,Hatchback,Mercedes-B
2023-11-28,Female,630000,Continental,Overhead Camshaft,Manual,Black,18000,Passenger,Lincoln
2023-06-26,Male,1640000,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,33001,Hatchback,Mercury
2022-11-12,Male,1625000,Firebird,Overhead Camshaft,Manual,Black,43501,Hardtop,Pontiac
2023-06-11,Male,910000,Expedition,DoubleÂ Overhead Camshaft,Auto,Black,41001,SUV,Ford
2023-10-13,Female,740000,Viper,DoubleÂ Overhead Camshaft,Auto,Red,23001,SUV,Dodge
2022-10-05,Female,13500,S-Type,Overhead Camshaft,Manual,Pale White,21000,Passenger,Jaguar
2022-03-21,Male,1311000,Sienna,Overhead Camshaft,Manual,Red,19100,Passenger,Toyota
2022-11-05,Male,13500,Concorde,Overhead Camshaft,Manual,Black,18000,Hardtop,Chrysler
2022-08-25,Male,784000,C-Class,Overhead Camshaft,Manual,Pale White,12000,Hatchback,Mercedes-B
2022-03-05,Male,850000,GS400,DoubleÂ Overhead Camshaft,Auto,Black,12000,Hatchback,Lexus
2023-11-20,Male,775000,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,69000,Passenger,Volkswagen
2023-07-23,Female,755000,I30,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,SUV,Infiniti
2022-03-05,Female,455000,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Hatchback,Ford
2023-04-18,Male,13500,Breeze,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,Hardtop,Plymouth
2023-04-01,Female,2250000,Viper,DoubleÂ Overhead Camshaft,Auto,Red,23000,SUV,Dodge
2023-06-17,Female,1077000,SW,DoubleÂ Overhead Camshaft,Auto,Pale White,25700,Passenger,Saturn
2022-10-31,Male,1035000,Caravan,Overhead Camshaft,Manual,Red,24500,Hatchback,Dodge
2023-11-24,Male,1900000,RL,Overhead Camshaft,Manual,Pale White,17001,SUV,Acura
2022-08-21,Female,2560000,Montero Sport,Overhead Camshaft,Manual,Red,29001,SUV,Mitsubishi
2022-03-08,Male,13500,Diamante,Overhead Camshaft,Manual,Pale White,19000,Hatchback,Mitsubishi
2022-11-23,Male,1635000,Concorde,DoubleÂ Overhead Camshaft,Auto,Black,12500,Hatchback,Chrysler
2023-09-12,Male,1310000,GTI,Overhead Camshaft,Manual,Black,25000,SUV,Volkswagen
2022-07-02,Male,700000,Cutlass,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,Sedan,Oldsmobile
2023-03-14,Male,748000,C-Class,DoubleÂ Overhead Camshaft,Auto,Red,15001,Hatchback,Mercedes-B
2022-12-27,Male,13500,Grand Marquis,Overhead Camshaft,Manual,Pale White,16000,SUV,Mercury
2022-11-27,Male,702500,F-Series,Overhead Camshaft,Manual,Red,13501,Passenger,Ford
2022-03-05,Male,13500,ES300,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,Hardtop,Lexus
2022-04-06,Male,730000,Celica,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,SUV,Toyota
2022-04-13,Male,785000,C70,Overhead Camshaft,Manual,Black,36000,Hatchback,Volvo
2023-09-17,Male,865000,Stratus,Overhead Camshaft,Manual,Red,37000,Hatchback,Dodge
2022-04-26,Male,13500,Ranger,Overhead Camshaft,Manual,Black,18001,SUV,Ford
2023-03-27,Male,1130000,Eclipse,DoubleÂ Overhead Camshaft,Auto,Black,27001,SUV,Mitsubishi
2022-12-19,Female,875000,Elantra,Overhead Camshaft,Manual,Pale White,22001,Sedan,Hyundai
2022-07-12,Male,1702000,Grand Am,DoubleÂ Overhead Camshaft,Auto,Pale White,12200,SUV,Pontiac
2023-10-21,Female,1528800,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,19880,Hardtop,Chrysler
2022-08-16,Male,813500,RL,Overhead Camshaft,Manual,Red,31500,SUV,Acura
2022-09-21,Male,13500,CL500,Overhead Camshaft,Manual,Pale White,29000,SUV,Mercedes-B
2023-12-03,Male,810000,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,33000,Hatchback,Mercury
2022-03-28,Female,766000,Intrigue,Overhead Camshaft,Manual,Red,25001,SUV,Oldsmobile
2022-05-11,Female,13500,Forester,Overhead Camshaft,Manual,Red,26000,Hatchback,Subaru
2023-12-25,Male,13500,328i,DoubleÂ Overhead Camshaft,Auto,Black,16000,Sedan,BMW
2022-12-10,Male,13500,Corvette,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,SUV,Chevrolet
2023-11-07,Male,690000,Celica,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,SUV,Toyota
2023-07-08,Female,901000,Accord,Overhead Camshaft,Manual,Black,43001,Sedan,Honda
2023-04-10,Male,1468000,Park Avenue,Overhead Camshaft,Manual,Black,29801,Hatchback,Buick
2023-05-05,Male,997000,Camry,Overhead Camshaft,Manual,Black,34001,Hatchback,Toyota
2023-03-13,Male,1600000,LS400,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,Sedan,Lexus
2022-04-18,Male,13500,Corolla,DoubleÂ Overhead Camshaft,Auto,Red,41000,Passenger,Toyota
2023-02-11,Male,13500,300M,DoubleÂ Overhead Camshaft,Auto,Red,16001,SUV,Chrysler
2022-05-28,Female,2130000,528i,Overhead Camshaft,Manual,Pale White,16000,SUV,BMW
2022-10-05,Male,760000,Escalade,Overhead Camshaft,Manual,Black,34000,Sedan,Cadillac
2022-07-31,Male,2200000,Ram Pickup,Overhead Camshaft,Manual,Black,19000,SUV,Dodge
2022-09-28,Male,1405000,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,19500,Sedan,Ford
2023-09-18,Male,1160000,Eldorado,Overhead Camshaft,Manual,Red,31001,Passenger,Cadillac
2022-12-17,Male,630000,GTI,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,SUV,Volkswagen
2022-04-13,Male,13500,Montero,Overhead Camshaft,Manual,Black,16000,SUV,Mitsubishi
2022-12-19,Male,1301000,ES300,DoubleÂ Overhead Camshaft,Auto,Black,16101,Hatchback,Lexus
2022-06-08,Male,1330000,F-Series,Overhead Camshaft,Manual,Red,13000,Passenger,Ford
2022-02-08,Male,1325000,Accord,Overhead Camshaft,Manual,Black,43500,Sedan,Honda
2023-08-19,Male,960000,LHS,DoubleÂ Overhead Camshaft,Auto,Red,16001,Hatchback,Chrysler
2022-12-06,Male,13500,I30,DoubleÂ Overhead Camshaft,Auto,Black,49000,Hardtop,Infiniti
2023-03-10,Male,1170000,Viper,Overhead Camshaft,Manual,Black,26000,SUV,Dodge
2023-12-03,Male,1160000,Accent,Overhead Camshaft,Manual,Black,18001,Hatchback,Hyundai
2023-08-04,Male,597000,Century,DoubleÂ Overhead Camshaft,Auto,Pale White,17000,SUV,Buick
2023-09-11,Female,705000,Bravada,DoubleÂ Overhead Camshaft,Auto,Red,19000,Hatchback,Oldsmobile
2023-06-12,Male,1000000,Durango,DoubleÂ Overhead Camshaft,Auto,Pale White,10001,SUV,Dodge
2023-05-30,Male,940000,Passat,Overhead Camshaft,Manual,Pale White,27001,Hatchback,Volkswagen
2022-08-16,Male,1270000,Sable,DoubleÂ Overhead Camshaft,Auto,Red,39000,Sedan,Mercury
2023-11-19,Male,365500,Cutlass,Overhead Camshaft,Manual,Pale White,41500,Sedan,Oldsmobile
2022-07-11,Male,468250,Camaro,DoubleÂ Overhead Camshaft,Auto,Black,41250,Sedan,Chevrolet
2023-11-22,Male,13500,Taurus,DoubleÂ Overhead Camshaft,Auto,Black,12000,SUV,Ford
2023-03-13,Male,760000,Mustang,DoubleÂ Overhead Camshaft,Auto,Red,31001,Hatchback,Ford
2023-03-13,Male,820000,Town car,Overhead Camshaft,Manual,Black,17000,Hatchback,Lincoln
2023-12-08,Male,544000,Avalon,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,Sedan,Toyota
2022-05-24,Female,770000,Celica,DoubleÂ Overhead Camshaft,Auto,Pale White,25001,SUV,Toyota
2023-07-21,Female,13500,Bravada,Overhead Camshaft,Manual,Pale White,34000,Hatchback,Oldsmobile
2022-09-04,Male,805000,GTI,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,SUV,Volkswagen
2022-07-11,Male,13500,Pathfinder,Overhead Camshaft,Manual,Pale White,16001,Hardtop,Nissan
2023-12-30,Male,1455000,Viper,DoubleÂ Overhead Camshaft,Auto,Pale White,25500,SUV,Dodge
2023-07-21,Male,1700000,Intrigue,DoubleÂ Overhead Camshaft,Auto,Black,18000,SUV,Oldsmobile
2022-11-24,Male,310000,Grand Prix,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Passenger,Pontiac
2023-01-22,Male,13500,Ram Van,DoubleÂ Overhead Camshaft,Auto,Black,60000,Hatchback,Dodge
2022-01-21,Male,1500000,ES300,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,Hatchback,Lexus
2022-11-20,Male,13500,528i,Overhead Camshaft,Manual,Pale White,14000,SUV,BMW
2023-11-06,Male,931000,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,Hardtop,Nissan
2022-06-21,Female,1055000,Regal,DoubleÂ Overhead Camshaft,Auto,Black,19500,Passenger,Buick
2023-12-09,Female,748000,528i,Overhead Camshaft,Manual,Red,29000,SUV,BMW
2023-05-02,Male,1420000,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,21001,Sedan,Honda
2023-05-21,Female,13500,Eldorado,Overhead Camshaft,Manual,Black,29001,Passenger,Cadillac
2022-04-19,Female,13500,E-Class,DoubleÂ Overhead Camshaft,Auto,Red,15000,Sedan,Mercedes-B
2022-05-28,Female,3400000,Voyager,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,Passenger,Plymouth
2023-08-08,Male,13500,M-Class,Overhead Camshaft,Manual,Pale White,41000,SUV,Mercedes-B
2023-04-08,Female,13500,Firebird,Overhead Camshaft,Manual,Black,43000,Hatchback,Pontiac
2022-09-15,Male,515000,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000,Hatchback,Audi
2022-09-05,Female,13500,Catera,DoubleÂ Overhead Camshaft,Auto,Pale White,75000,Hatchback,Cadillac
2023-11-06,Female,13500,Aurora,DoubleÂ Overhead Camshaft,Auto,Pale White,24000,Passenger,Oldsmobile
2022-10-02,Female,1142000,Golf,Overhead Camshaft,Manual,Pale White,17200,Hardtop,Volkswagen
2023-08-15,Male,532000,LW,Overhead Camshaft,Manual,Pale White,13000,Hatchback,Saturn
2023-03-20,Male,420000,300M,DoubleÂ Overhead Camshaft,Auto,Pale White,22001,SUV,Chrysler
2023-11-13,Male,710000,528i,Overhead Camshaft,Manual,Pale White,16001,SUV,BMW
2022-10-25,Male,13500,Viper,DoubleÂ Overhead Camshaft,Auto,Red,31000,SUV,Dodge
2022-10-23,Male,13500,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Red,12000,SUV,Toyota
2022-08-10,Female,570000,S-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,10000,SUV,Mercedes-B
2022-12-07,Male,13500,Quest,Overhead Camshaft,Manual,Black,38000,SUV,Nissan
2022-12-10,Male,13500,LX470,Overhead Camshaft,Manual,Pale White,54000,SUV,Lexus
2022-11-24,Male,1241000,Villager,Overhead Camshaft,Manual,Pale White,14101,Passenger,Mercury
2022-11-09,Male,685000,GS400,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Hatchback,Lexus
2023-12-10,Male,185000,Corolla,Overhead Camshaft,Manual,Pale White,22000,Passenger,Toyota
2023-12-04,Male,561000,TL,Overhead Camshaft,Manual,Pale White,14000,Hatchback,Acura
2023-11-05,Male,2250000,E-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,Sedan,Mercedes-B
2023-12-24,Male,662000,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,Hardtop,Nissan
2023-03-01,Male,1000000,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Red,19001,Sedan,Chrysler
2022-05-28,Male,817000,328i,DoubleÂ Overhead Camshaft,Auto,Black,16000,Sedan,BMW
2022-01-21,Male,13500,528i,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,SUV,BMW
2022-08-02,Female,1400000,Continental,Overhead Camshaft,Manual,Red,82000,Passenger,Lincoln
2023-05-31,Male,926000,Eldorado,Overhead Camshaft,Manual,Red,31000,Passenger,Cadillac
2022-05-17,Female,385000,Regal,DoubleÂ Overhead Camshaft,Auto,Black,19000,Passenger,Buick
2022-04-26,Female,753000,LS400,DoubleÂ Overhead Camshaft,Auto,Black,39001,Sedan,Lexus
2022-07-02,Male,13500,Regal,DoubleÂ Overhead Camshaft,Auto,Black,19001,Passenger,Buick
2022-10-03,Male,13500,Expedition,Overhead Camshaft,Manual,Pale White,22000,SUV,Ford
2023-09-03,Male,725000,Diamante,DoubleÂ Overhead Camshaft,Auto,Black,18001,Hatchback,Mitsubishi
2023-12-30,Male,13500,Navigator,DoubleÂ Overhead Camshaft,Auto,Black,19000,Sedan,Lincoln
2023-09-25,Female,13500,Corvette,Overhead Camshaft,Manual,Pale White,22000,SUV,Chevrolet
2023-11-24,Male,630000,Monte Carlo,DoubleÂ Overhead Camshaft,Auto,Pale White,21001,Hatchback,Chevrolet
2022-10-09,Male,410000,Catera,DoubleÂ Overhead Camshaft,Auto,Pale White,75000,Hatchback,Cadillac
2022-08-05,Male,600000,Monte Carlo,Overhead Camshaft,Manual,Pale White,26000,Hatchback,Chevrolet
2022-09-15,Female,680000,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,Passenger,Volkswagen
2023-03-29,Male,13500,Ram Pickup,Overhead Camshaft,Manual,Pale White,21001,Hatchback,Dodge
2022-10-25,Female,845000,Jetta,Overhead Camshaft,Manual,Pale White,27000,Passenger,Volkswagen
2022-09-28,Female,670000,3000GT,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Sedan,Mitsubishi
2023-04-19,Male,600000,Viper,DoubleÂ Overhead Camshaft,Auto,Red,31000,SUV,Dodge
2023-12-20,Male,1170000,Pathfinder,Overhead Camshaft,Manual,Black,22000,Hardtop,Nissan
2023-09-01,Female,650000,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Hatchback,Ford
2022-05-08,Male,1760000,CL500,Overhead Camshaft,Manual,Black,22000,SUV,Mercedes-B
2023-10-21,Male,1110000,A4,Overhead Camshaft,Manual,Pale White,12000,Hardtop,Audi
2023-12-27,Male,675000,S40,DoubleÂ Overhead Camshaft,Auto,Black,17000,Sedan,Volvo
2022-08-08,Male,1000000,Bonneville,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,Hatchback,Pontiac
2022-12-06,Male,510000,Diamante,DoubleÂ Overhead Camshaft,Auto,Black,18000,Hatchback,Mitsubishi
2022-07-24,Female,757000,Malibu,Overhead Camshaft,Manual,Pale White,41000,Hardtop,Chevrolet
2023-07-17,Male,1530000,Mountaineer,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,Hardtop,Mercury
2023-10-04,Male,1100000,Diamante,DoubleÂ Overhead Camshaft,Auto,Pale White,21001,Hatchback,Mitsubishi
2022-05-30,Male,510000,SL-Class,Overhead Camshaft,Manual,Pale White,26001,Hardtop,Mercedes-B
2023-10-13,Male,920000,300M,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,SUV,Chrysler
2022-11-29,Male,780000,328i,Overhead Camshaft,Manual,Red,21000,Sedan,BMW
2023-01-30,Female,800000,Carrera Coupe,DoubleÂ Overhead Camshaft,Auto,Red,22000,Hardtop,Porsche
2022-11-19,Male,761000,Civic,DoubleÂ Overhead Camshaft,Auto,Pale White,25000,Hatchback,Honda
2023-09-05,Female,950000,Golf,DoubleÂ Overhead Camshaft,Auto,Red,35000,SUV,Volkswagen
2023-05-09,Male,13500,3-Sep,DoubleÂ Overhead Camshaft,Auto,Red,69000,Sedan,Saab
2023-05-03,Female,775000,Ram Van,DoubleÂ Overhead Camshaft,Auto,Pale White,15001,Hatchback,Dodge
2023-03-19,Male,1110000,Forester,Overhead Camshaft,Manual,Red,17000,Hatchback,Subaru
2023-12-01,Male,555000,V70,DoubleÂ Overhead Camshaft,Auto,Black,39000,Passenger,Volvo
2022-03-19,Female,750000,Grand Prix,DoubleÂ Overhead Camshaft,Auto,Red,69000,Passenger,Pontiac
2022-12-10,Male,13500,Sonata,Overhead Camshaft,Manual,Black,15000,SUV,Hyundai
2022-03-22,Male,510000,SW,DoubleÂ Overhead Camshaft,Auto,Red,25000,Passenger,Saturn
2022-08-16,Male,1420000,Prizm,DoubleÂ Overhead Camshaft,Auto,Red,25000,SUV,Chevrolet
2023-07-23,Male,1065000,Escort,DoubleÂ Overhead Camshaft,Auto,Pale White,15501,Passenger,Ford
2022-02-14,Male,440000,300M,DoubleÂ Overhead Camshaft,Auto,Black,26000,SUV,Chrysler
2023-05-27,Male,570000,Camaro,DoubleÂ Overhead Camshaft,Auto,Black,41000,Sedan,Chevrolet
2023-11-04,Male,13500,RL,DoubleÂ Overhead Camshaft,Auto,Black,24000,SUV,Acura
2022-07-16,Male,500000,C70,Overhead Camshaft,Manual,Black,17000,Hatchback,Volvo
2023-05-30,Male,720000,S80,Overhead Camshaft,Manual,Red,25000,Sedan,Volvo
2022-06-11,Male,1288000,SW,DoubleÂ Overhead Camshaft,Auto,Red,25800,Passenger,Saturn
2023-02-01,Male,1800000,E-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Sedan,Mercedes-B
2023-05-17,Female,905000,Odyssey,Overhead Camshaft,Manual,Pale White,54001,Passenger,Honda
2023-12-01,Male,630000,Wrangler,Overhead Camshaft,Manual,Pale White,13000,Hatchback,Jeep
2022-12-27,Male,901000,Elantra,Overhead Camshaft,Manual,Pale White,26000,Sedan,Hyundai
2022-09-27,Male,13500,ES300,Overhead Camshaft,Manual,Black,34000,Hardtop,Lexus
2023-08-26,Male,1150000,Grand Prix,DoubleÂ Overhead Camshaft,Auto,Red,69001,Passenger,Pontiac
2022-06-28,Male,13500,Diamante,Overhead Camshaft,Manual,Red,12000,Hatchback,Mitsubishi
2022-07-02,Female,620000,Diamante,Overhead Camshaft,Manual,Red,25000,Hatchback,Mitsubishi
2022-04-09,Male,1900000,C70,DoubleÂ Overhead Camshaft,Auto,Black,12000,Hatchback,Volvo
2022-04-18,Male,3610000,S40,Overhead Camshaft,Manual,Red,17000,Sedan,Volvo
2023-11-21,Male,1300000,Corvette,Overhead Camshaft,Manual,Black,26000,SUV,Chevrolet
2022-10-19,Male,13500,M-Class,DoubleÂ Overhead Camshaft,Auto,Black,18001,Hardtop,Mercedes-B
2023-07-18,Male,820000,3-Sep,DoubleÂ Overhead Camshaft,Auto,Black,23000,Sedan,Saab
2022-06-25,Male,13500,Cirrus,DoubleÂ Overhead Camshaft,Auto,Red,12000,Passenger,Chrysler
2023-08-27,Male,430000,Sienna,Overhead Camshaft,Manual,Black,27001,Passenger,Toyota
2023-11-20,Male,13500,Continental,Overhead Camshaft,Manual,Pale White,82000,Passenger,Lincoln
2023-02-13,Female,1380000,Escalade,DoubleÂ Overhead Camshaft,Auto,Pale White,38000,Sedan,Cadillac
2023-08-14,Male,720000,323i,DoubleÂ Overhead Camshaft,Auto,Red,19001,Hatchback,BMW
2023-03-24,Female,540000,Cabrio,DoubleÂ Overhead Camshaft,Auto,Black,16001,Sedan,Volkswagen
2023-04-01,Male,13500,Grand Marquis,Overhead Camshaft,Manual,Red,71000,SUV,Mercury
2023-06-24,Female,978000,Ram Pickup,Overhead Camshaft,Manual,Black,19000,Hardtop,Dodge
2022-08-13,Male,1210000,LHS,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,Hatchback,Chrysler
2022-08-10,Female,562000,Concorde,Overhead Camshaft,Manual,Black,18000,Hatchback,Chrysler
2023-08-06,Male,13500,Sunfire,Overhead Camshaft,Manual,Pale White,43000,Sedan,Pontiac
2023-03-14,Male,2248000,Expedition,Overhead Camshaft,Manual,Black,18800,SUV,Ford
2023-05-29,Male,871000,Forester,DoubleÂ Overhead Camshaft,Auto,Black,22000,Hardtop,Subaru
2023-11-13,Male,1600000,GTI,Overhead Camshaft,Manual,Black,25000,SUV,Volkswagen
2023-11-24,Male,13500,Breeze,DoubleÂ Overhead Camshaft,Auto,Pale White,22001,Hardtop,Plymouth
2023-02-05,Male,1500000,Camaro,DoubleÂ Overhead Camshaft,Auto,Black,41000,Sedan,Chevrolet
2022-03-06,Female,701000,S40,Overhead Camshaft,Manual,Pale White,17000,Sedan,Volvo
2023-04-12,Female,13500,Montero Sport,Overhead Camshaft,Manual,Pale White,12000,Hardtop,Mitsubishi
2023-05-30,Male,860000,Camaro,DoubleÂ Overhead Camshaft,Auto,Red,24001,Sedan,Chevrolet
2022-12-31,Male,1245000,Villager,Overhead Camshaft,Manual,Pale White,16500,Passenger,Mercury
2023-12-11,Male,13500,Expedition,Overhead Camshaft,Manual,Black,18000,SUV,Ford
